"id","name","email","role","email_verified_at","password","remember_token","created_at","updated_at","poin","member"
"1","Owner 1","o1@gmail.com","owner",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"2","Owner 2","o2@gmail.com","owner",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"3","Staff 3","s3@gmail.com","staff",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"4","Staff 4","s4@gmail.com","staff",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"5","Staff 5","s5@gmail.com","staff",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"6","Pengguna1","p1@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"7","Pengguna2","p2@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"8","Pengguna3","p3@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"9","Pengguna4","p4@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"10","Pengguna5","p5@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"11","Pengguna6","p6@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"12","Pengguna7","p7@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"13","Pengguna8","p8@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"14","Pengguna9","p9@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"15","Pengguna10","p10@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"16","Pengguna11","p11@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"17","Pengguna12","p12@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"18","Pengguna13","p13@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"19","Pengguna14","p14@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
"20","Pengguna15","p15@gmail.com","pembeli",NULL,"$2y$10$2ZYiZTDW66j40iXKq8qCE.2kDfdNDLIgxJLqIiK.uDfs1Jr/8/0fq",NULL,NULL,NULL,"0","0"
